vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
1,2023-01-01T00:51:10.000,2023-01-01T01:08:35.000,4.0,1.6,1.0,N,141,164,2,13.5,3.5,0.5,0.0,0.0,1.0,18.5,2.5,0.0
2,2023-01-01T00:09:56.000,2023-01-01T00:26:13.000,1.0,5.08,1.0,N,79,262,1,24.0,1.0,0.5,5.8,0.0,1.0,34.8,2.5,0.0
2,2023-01-01T00:22:39.000,2023-01-01T01:30:45.000,1.0,16.02,1.0,N,132,265,2,61.1,1.0,0.5,0.0,0.0,1.0,64.85,0.0,1.25
1,2023-01-01T00:53:37.000,2023-01-01T01:23:16.000,1.0,10.2,1.0,N,161,127,2,42.9,3.5,0.5,0.0,0.0,1.0,47.9,2.5,0.0
2,2023-01-01T00:20:38.000,2023-01-01T00:21:26.000,1.0,0.08,1.0,N,75,75,2,3.0,1.0,0.5,0.0,0.0,1.0,5.5,0.0,0.0
1,2023-01-01T00:45:15.000,2023-01-01T01:06:54.000,2.0,3.2,1.0,N,234,87,1,21.2,3.5,0.5,2.0,0.0,1.0,28.2,2.5,0.0
1,2023-01-01T00:38:54.000,2023-01-01T00:51:07.000,2.0,2.7,1.0,N,24,141,2,14.2,3.5,0.5,0.0,0.0,1.0,19.2,2.5,0.0
2,2023-01-01T00:21:25.000,2023-01-01T00:45:36.000,2.0,7.7,1.0,N,170,195,1,34.5,1.0,0.5,7.9,0.0,1.0,47.4,2.5,0.0
1,2023-01-01T00:48:02.000,2023-01-01T01:10:10.000,1.0,2.8,1.0,N,161,114,1,17.7,3.5,0.5,1.0,0.0,1.0,23.7,2.5,0.0
2,2023-01-01T00:34:39.000,2023-01-01T00:40:25.000,2.0,0.85,1.0,N,79,113,4,7.2,1.0,0.5,0.0,0.0,1.0,12.2,2.5,0.0
2,2023-01-01T00:36:38.000,2023-01-01T00:56:05.000,1.0,2.62,1.0,N,246,125,1,19.8,1.0,0.5,4.96,0.0,1.0,29.76,2.5,0.0
2,2023-01-01T00:35:47.000,2023-01-01T00:53:44.000,1.0,3.56,1.0,N,229,238,1,19.8,1.0,0.5,4.96,0.0,1.0,29.76,2.5,0.0
2,2023-01-01T00:06:40.000,2023-01-01T00:25:09.000,1.0,7.56,1.0,Y,249,228,1,31.0,1.0,0.5,7.2,0.0,1.0,43.2,2.5,0.0
